episode,reward,total_burned,epsilon,steps,q_table_size
251,3.0,1,0.2842,2,862
252,4.0,4,0.2828,3,862
253,-103.0,135,0.2813,23,865
254,-105.0,125,0.2799,14,868
255,5.0,9,0.2785,5,868
256,4.0,2,0.2771,2,868
257,-363.0,413,0.2758,19,870
258,2.0,2,0.2744,2,870
259,4.0,0,0.273,1,870
260,-345.0,405,0.2716,22,872
261,-176.0,208,0.2703,28,876
262,-109.0,139,0.2689,20,883
263,-353.0,385,0.2676,22,889
264,-416.0,472,0.2663,22,892
265,-320.0,376,0.2649,26,892
266,-440.0,498,0.2636,24,893
267,-308.0,356,0.2623,20,895
268,-306.0,352,0.261,38,904
269,-464.0,512,0.2597,34,909
270,-320.0,368,0.2584,29,912
271,-406.0,474,0.2571,28,913
272,2.0,8,0.2558,4,913
273,-339.0,403,0.2545,25,914
274,-417.0,461,0.2532,23,914
275,-384.0,432,0.252,22,914
276,4.0,4,0.2507,3,914
277,4.0,2,0.2495,2,914
278,0.0,14,0.2482,7,914
279,2.0,2,0.247,2,914
280,3.0,7,0.2457,4,914
281,-260.0,300,0.2445,22,914
282,-326.0,388,0.2433,24,914
283,-490.0,542,0.2421,26,916
284,-422.0,462,0.2409,21,916
285,2.0,2,0.2397,2,916
286,-361.0,413,0.2385,23,918
287,-377.0,431,0.2373,22,920
288,-353.0,407,0.2361,21,922
289,-445.0,499,0.2349,25,922
290,-224.0,278,0.2337,30,929
291,-404.0,446,0.2326,26,933
292,-350.0,404,0.2314,24,935
293,-306.0,342,0.2302,29,940
294,-492.0,542,0.2291,23,941
295,4.0,0,0.2279,1,941
296,-444.0,492,0.2268,27,941
297,2.0,4,0.2257,3,941
298,-430.0,502,0.2245,33,942
299,-341.0,393,0.2234,31,945
300,-350.0,400,0.2223,24,945
301,-271.0,331,0.2212,39,951
302,-295.0,335,0.2201,24,958
303,4.0,4,0.219,3,958
304,-207.0,235,0.2179,20,959
305,-343.0,403,0.2168,27,959
306,-335.0,393,0.2157,21,960
307,-367.0,417,0.2146,28,965
308,-471.0,523,0.2136,21,968
309,-325.0,379,0.2125,37,976
310,-3.0,23,0.2114,8,976
311,-291.0,347,0.2104,31,982
312,4.0,4,0.2093,3,982
313,4.0,8,0.2083,4,982
314,-397.0,451,0.2072,25,986
315,-249.0,291,0.2062,25,992
316,-583.0,633,0.2052,25,993
317,-379.0,437,0.2041,25,995
318,-413.0,473,0.2031,25,995
319,-404.0,456,0.2021,23,999
320,1.0,1,0.2011,1,999
321,-227.0,255,0.2001,20,1006
322,-387.0,447,0.1991,23,1007
323,3.0,1,0.1981,2,1007
324,-387.0,445,0.1971,26,1008
325,-341.0,415,0.1961,28,1009
326,-131.0,167,0.1951,22,1013
327,-388.0,444,0.1942,23,1013
328,-456.0,514,0.1932,23,1016
329,-468.0,530,0.1922,26,1018
330,-429.0,485,0.1913,24,1019
