episode,reward,total_burned,epsilon,steps,q_table_size
775,-388.0,442,0.03,20,1577
776,-413.0,465,0.03,23,1577
777,-372.0,422,0.03,24,1578
778,-435.0,487,0.03,24,1578
779,-357.0,441,0.03,33,1583
780,-356.0,396,0.03,19,1583
781,-416.0,462,0.03,20,1583
782,-498.0,546,0.03,22,1583
783,-405.0,465,0.03,25,1584
784,-312.0,358,0.03,20,1584
785,-358.0,406,0.03,23,1584
786,-349.0,403,0.03,23,1586
787,-268.0,312,0.03,18,1587
788,-3.0,17,0.03,6,1587
789,-437.0,487,0.03,23,1587
790,-349.0,397,0.03,19,1587
791,-263.0,317,0.03,22,1587
792,-348.0,400,0.03,21,1589
793,-351.0,403,0.03,25,1589
794,-366.0,424,0.03,28,1589
795,-390.0,438,0.03,20,1590
796,-393.0,449,0.03,19,1591
797,-363.0,407,0.03,21,1591
798,-436.0,498,0.03,26,1591
799,-260.0,308,0.03,33,1598
800,-419.0,487,0.03,29,1602
